name,scientific_name,ioc_scientific_name
Mute Swan,Cygnus olor,
Bewick's Swan,Cygnus columbianus,
Whooper Swan,Cygnus cygnus,
Bean Goose,Anser fabalis,
Pink-footed Goose,Anser brachyrhynchus,
White-fronted Goose,Anser albifrons,
Lesser White-fronted Goose,Anser erythropus,
Greylag Goose,Anser anser,
Snow Goose,Anser caerulescens,
Canada Goose,Branta canadensis,
Cackling Goose,Branta hutchinsii,
Barnacle Goose,Branta leucopsis,
Brent Goose,Branta bernicla,
Red-breasted Goose,Branta ruficollis,
Egyptian Goose,Alopochen aegyptiaca,
Ruddy Shelduck,Tadorna ferruginea,
Shelduck,Tadorna tadorna,
Mandarin Duck,Aix galericulata,
Wigeon,Anas penelope,
American Wigeon,Anas americana,
Gadwall,Anas strepera,
Baikal Teal,Anas formosa,
Teal,Anas crecca,
Green-winged Teal,Anas carolinensis,
Mallard,Anas platyrhynchos,
Black Duck,Anas rubripes,
Pintail,Anas acuta,
Garganey,Anas querquedula,
Blue-winged Teal,Anas discors,
Shoveler,Anas clypeata,
Red-crested Pochard,Netta rufina,
Canvasback,Aythya valisineria,
Pochard,Aythya ferina,
Redhead,Aythya americana,
Ring-necked Duck,Aythya collaris,
Ferruginous Duck,Aythya nyroca,
Tufted Duck,Aythya fuligula,
Scaup,Aythya marila,
Lesser Scaup,Aythya affinis,
Eider,Somateria mollissima,
King Eider,Somateria spectabilis,
Steller's Eider,Polysticta stelleri,
Harlequin Duck,Histrionicus histrionicus,
Long-tailed Duck,Clangula hyemalis,
Common Scoter,Melanitta nigra,
Black Scoter,Melanitta americana,
Surf Scoter,Melanitta perspicillata,
Velvet Scoter,Melanitta fusca,
White-winged Scoter,Melanitta deglandi,
Bufflehead,Bucephala albeola,
Barrow's Goldeneye,Bucephala islandica,
Goldeneye,Bucephala clangula,
Hooded Merganser,Lophodytes cucullatus,
Smew,Mergellus albellus,
Red-breasted Merganser,Mergus serrator,
Goosander,Mergus merganser,
Ruddy Duck,Oxyura jamaicensis,
Quail,Coturnix coturnix,
Red-legged Partridge,Alectoris rufa,
Red Grouse,Lagopus lagopus,
Ptarmigan,Lagopus muta,
Black Grouse,Tetrao tetrix,Lyrurus tetrix
Capercaillie,Tetrao urogallus,
Grey Partridge,Perdix perdix,
Pheasant,Phasianus colchicus,
Lady Amherst's Pheasant,Chrysolophus amherstiae,
Golden Pheasant,Chrysolophus pictus,
Red-throated Diver,Gavia stellata,
Black-throated Diver,Gavia arctica,
Pacific Diver,Gavia pacifica,
Great Northern Diver,Gavia immer,
White-billed Diver,Gavia adamsii,
Black-browed Albatross,Thalassarche melanophris,
Yellow-nosed Albatross,Thalassarche chlororhynchos,
Fulmar,Fulmarus glacialis,
Fea's Petrel,Pterodroma feae,
Capped Petrel,Pterodroma hasitata,
Cory's Shearwater,Calonectris borealis,
Scopoli's Shearwater,Calonectris diomedea,
Great Shearwater,Puffinus gravis,Ardenna gravis
Sooty Shearwater,Puffinus griseus,Ardenna grisea
Manx Shearwater,Puffinus puffinus,
Yelkouan Shearwater,Puffinus yelkouan,
Balearic Shearwater,Puffinus mauretanicus,
Macaronesian Shearwater,Puffinus baroli,
Wilson's Petrel,Oceanites oceanicus,
Frigate Petrel,Pelagodroma marina,
